id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
355246,TR-0190,heliport,"Erguvan Bursa Provincial Health Directorate Heliport",40.226116,29.073486,295,AS,Turkey,TR,"Bursa Province",TR-16,16,Erguvan,0,,,,,,,0,2022-06-28T01:52:43+00:00
355209,TR-0164,heliport,"Yılair Havacılık ve Ticaret AŞ ve Helikopter Pisti",40.41513,29.108555,115,AS,Turkey,TR,"Bursa Province",TR-16,16,Gemlik,0,,,,,,,0,2022-07-10T20:08:19+00:00
355199,LTHA,heliport,"Ufuk Danişmend Polis Heliportu",39.803611,32.844167,2694,AS,Turkey,TR,"Ankara Province",TR-06,06,Gölbaşı,0,LTHA,,GBS,,https://tr.wikipedia.org/wiki/Ufuk_Dani%C5%9Fmend_Polis_Heliportu,,0,2022-06-27T12:49:45+00:00
355228,TR-0183,heliport,"LOSEV - LÖSANTE Children and Adults Hospital Helipad",39.833125,32.719136,1159,AS,Turkey,TR,"Ankara Province",TR-06,06,Gölbaşı,0,,,,,,,0,2022-06-29T14:53:35+00:00
355208,TR-0163,heliport,"Güroymak Jandarma Helipad",38.567081,42.037394,,AS,Turkey,TR,"Bitlis Province",TR-13,13,Güroymak,0,,,,,,,0,2022-06-27T14:18:32+00:00
339011,TR-0074,heliport,"İsdemir (İskenderun Iron and Steel) Heliport",36.71344,36.21417,,AS,Turkey,TR,"Hatay Province",TR-31,31,İskenderun,0,,,,,,,0,2021-01-10T14:05:21+00:00
355223,TR-0178,heliport,"İsdemir İskenderun Demir Ve Çelik Anonim Şirketi Helipad",36.713455,36.214113,66,AS,Turkey,TR,"Hatay Province",TR-31,31,İskenderun,0,,,,,,,0,2022-06-27T17:15:29+00:00
355204,LTHF,heliport,"DHMİ Atatürk Airport Heliport",40.9817,28.8222,120,AS,Turkey,TR,"İstanbul Province",TR-34,34,İstanbul,0,LTHF,,,,,,0,2022-06-27T13:34:30+00:00
509964,TR-0221,heliport,"Kaan Heliport",38.466648,27.437008,,AS,Turkey,TR,"İzmir Province",TR-35,35,Izmir,0,,,,http://www.kaanair.com/,,"kaan heliport",0,2023-07-02T07:52:07+00:00
355250,TR-0194,heliport,"İzmir Air Ambulance Center",38.39713,27.1025,393,AS,Turkey,TR,"İzmir Province",TR-35,35,Karabağlar,0,,,,,,,0,2022-06-28T02:06:51+00:00
337484,TR-0043,heliport,"Titreyengöl Helipad",36.755223,31.446676,6,AS,Turkey,TR,"Antalya Province",TR-07,07,Manavgat,0,,,,,,"manavgat,titreyengöl",0,2022-04-11T14:17:29+00:00
355240,TR-0186,heliport,"Marmaris Devlet Hastanesi Helipad",36.858558,28.258131,16,AS,Turkey,TR,"Muğla Province",TR-48,48,Marmaris,0,,,,,,,0,2022-06-27T19:30:56+00:00
44930,TR-0013,closed,"Konya West Airport",37.859693,32.456789,,AS,Turkey,TR,"Konya Province",TR-42,42,Meram,0,,,,,,,0,2016-06-20T07:17:21+00:00
355355,TR-0210,heliport,"Gazelle Resort Helipad",40.682794,31.631441,,AS,Turkey,TR,"Bolu Province",TR-14,14,Merkez,0,,,,,,,0,2022-06-29T14:42:44+00:00
355359,TR-0212,heliport,"AIBU Helipad",40.715924,31.531502,,AS,Turkey,TR,"Bolu Province",TR-14,14,Merkez,0,,,,,,,0,2022-06-29T15:06:41+00:00
346390,TR-0094,heliport,"Bozyazı Forest Depot Helipad",36.093271,32.934434,,AS,Turkey,TR,"Icel Province",TR-33,33,Mersin,0,,,,,,"bozyazı, ogm, helikopter, forestry, fire",0,2021-11-04T00:04:51+00:00
355258,TR-0202,heliport,"Merzifon Karamustafa Paşa Public Hospital Helipad",40.866017,35.437485,2352,AS,Turkey,TR,"Amasya Province",TR-05,05,Merzifon,0,,,,,,,0,2022-06-28T02:36:33+00:00
355256,TR-0200,heliport,"Kaplankaya Heliport",37.315101,27.400508,6,AS,Turkey,TR,"Muğla Province",TR-48,48,Milas,0,,,,,,,0,2022-06-28T02:24:48+00:00
355244,TR-0188,heliport,"Uludağ Hospital Helipad",40.222192,28.867865,88,AS,Turkey,TR,"Bursa Province",TR-16,16,Nilüfer,0,,,,,,,0,2022-06-28T01:44:32+00:00
355249,TR-0193,heliport,"Bursa City Hospital Helipad",40.26975,28.91379,393,AS,Turkey,TR,"Bursa Province",TR-16,16,Nilüfer,0,,,,,,,0,2022-06-28T02:04:25+00:00
355235,TR-0184,heliport,"KTÜ Farabi Hospital Helipad",40.993341,39.767285,117,AS,Turkey,TR,"Trabzon Province",TR-61,61,Ortahisar,0,,,,,,,0,2022-06-27T18:54:27+00:00
355245,TR-0189,heliport,"Sönmez Airlines Inc. Helipad",40.255134,29.067867,88,AS,Turkey,TR,"Bursa Province",TR-16,16,Osmangazi,0,,,,https://www.sonmezholding.com.tr/havacilik/,,,0,2022-06-28T01:49:02+00:00
355248,TR-0192,heliport,"ÖNÖC Central District Helipad",40.19931,29.05428,426,AS,Turkey,TR,"Bursa Province",TR-16,16,Osmangazi,0,,,,,,,0,2022-06-28T02:01:32+00:00
355227,TR-0182,heliport,"Denizli Regional Directorate of Forestry Helicopter Heliport",37.734549,29.090766,550,AS,Turkey,TR,"Denizli Province",TR-20,20,Pamukkale,0,,,,,,,0,2022-06-27T17:39:11+00:00
355212,TR-0167,heliport,"Kaan Havacılık Heliport",41.125811,28.983653,113,AS,Turkey,TR,"İstanbul Province",TR-34,34,Sarıyer,0,,,,http://www.kaanair.com/,,,0,2022-06-27T16:23:39+00:00
355243,TR-0187,heliport,"Teos Marina Helipad",38.193784,26.78312,,AS,Turkey,TR,"İzmir Province",TR-35,35,Seferihisar,0,,,,https://teosmarina.com/,,,0,2022-06-28T01:42:12+00:00
355251,TR-0195,heliport,"Divan Taksim Palmira Turizm Ticaret Anonim Şirketi Helipad",41.04118,28.98712,223,AS,Turkey,TR,"İstanbul Province",TR-34,34,Şişli,0,,,,,,,0,2022-06-28T02:09:20+00:00
355220,TR-0175,heliport,"Erzurum Bölge Eğitim Ve Araştırma Hastanesi Helikopter Pisti",39.889903,41.24,1914,AS,Turkey,TR,"Erzurum Province",TR-25,25,Yakutiye,0,,,,,,,0,2022-06-27T17:05:42+00:00
355357,TR-0211,heliport,"Bolu Dagi Helipad",40.735812,31.426059,,AS,Turkey,TR,"Bolu Province",TR-14,14,Yeşilköy,0,,,,,,,0,2022-06-29T15:02:07+00:00
4561,LTCP,medium_airport,"Adıyaman Airport",37.7314,38.468899,2216,AS,Turkey,TR,"Adıyaman Province",TR-02,02,Adıyaman,1,LTCP,ADF,,,https://en.wikipedia.org/wiki/Ad%C4%B1yaman_Airport,,750,2021-10-07T10:52:35+00:00
4559,LTCN,medium_airport,"Kahramanmaraş Airport",37.5388259888,36.9535217285,1723,AS,Turkey,TR,"Kahramanmaraş Province",TR-46,46,Kahramanmaraş,1,LTCN,KCM,,,https://en.wikipedia.org/wiki/Kahramanmara%C5%9F_Airport,,750,2010-09-05T08:27:27+00:00
317863,LTCW,medium_airport,"Hakkari Yüksekova Airport",37.5497,44.2381,6400,AS,Turkey,TR,"Hakkâri Province",TR-30,30,Hakkari,1,LTCW,YKO,,,https://en.wikipedia.org/wiki/Hakkari_Y%C3%BCksekova_Airport,,500,2018-05-02T02:27:51+00:00
4525,LTAW,medium_airport,"Tokat Airport",40.307430267333984,36.367408752441406,1831,AS,Turkey,TR,"Tokat Province",TR-60,60,Tokat,1,LTAW,TJK,,,https://en.wikipedia.org/wiki/Tokat_Airport,,500,2009-06-27T08:34:26+00:00
4510,LTAD,medium_airport,"Etimesgut Air Base",39.949798584,32.6885986328,2653,AS,Turkey,TR,"Ankara Province",TR-06,06,Ankara,0,LTAD,ANK,,,https://en.wikipedia.org/wiki/Etimesgut_Air_Base,,400,2010-12-09T12:51:32+00:00
4514,LTAH,medium_airport,"Afyon Air Base",38.726398,30.601101,3310,AS,Turkey,TR,"Afyonkarahisar Province",TR-03,03,Afyonkarahisar,0,LTAH,AFY,,,https://en.wikipedia.org/wiki/Afyon_Airport,Afyonkarahisar,250,2021-03-08T11:15:16+00:00
4511,LTAE,medium_airport,"Akıncı Air Base",40.078899383499994,32.5656013489,2767,AS,Turkey,TR,"Ankara Province",TR-06,06,Ankara,0,LTAE,,,,https://en.wikipedia.org/wiki/Ak%C4%B1nc%C4%B1_Air_Base,"Akinci, Mürted, Murted",250,2010-12-09T13:05:32+00:00
4535,LTBL,medium_airport,"Çiğli Airport",38.513,27.010099,16,AS,Turkey,TR,"İzmir Province",TR-35,35,"Kaklıç Mahallesi",0,LTBL,IGL,,,https://en.wikipedia.org/wiki/%C3%87i%C4%9Fli_Air_Base,,250,2021-01-27T14:44:30+00:00
30013,LTAL,medium_airport,"Kastamonu Airport",41.314201,33.795799,3520,AS,Turkey,TR,"Kastamonu Province",TR-37,37,Kastamonu,0,LTAL,KFS,,,,,250,2021-10-14T20:44:37+00:00
44792,TR-0028,medium_airport,"Keşan Air Base",40.787068,26.606655,,EU,Turkey,TR,"Edirne Province",TR-22,22,Keşan,0,LTFL,,,,,,250,2022-02-24T10:29:22+00:00
4558,LTCL,medium_airport,"Siirt Airport",37.97890090942383,41.84040069580078,2001,AS,Turkey,TR,"Siirt Province",TR-56,56,Siirt,0,LTCL,SXZ,,,https://en.wikipedia.org/wiki/Siirt_Airport,,250,2009-06-27T08:01:51+00:00
4520,LTAP,small_airport,"Amasya Merzifon Airport",40.829399,35.521999,1758,AS,Turkey,TR,"Amasya Province",TR-05,05,Amasya,1,LTAP,MZH,,http://www.merzifon.dhmi.gov.tr/havaalanlari/default.aspx?hv=15,https://en.wikipedia.org/wiki/Merzifon_Airport,,150,2016-06-01T14:04:31+00:00
4538,LTBO,small_airport,"Uşak Airport",38.68149948120117,29.47170066833496,2897,AS,Turkey,TR,"Uşak Province",TR-64,64,Uşak,1,LTBO,USQ,,,https://en.wikipedia.org/wiki/U%C5%9Fak_Airport,,150,2009-06-27T08:51:27+00:00
44781,TR-0017,small_airport,"Bingöl Çeltiksuyu Airport",38.8592605591,40.5959625244,3506,AS,Turkey,TR,"Bingöl Province",TR-12,12,Bingöl,1,LTCU,BGG,,,https://en.wikipedia.org/wiki/Bing%C3%B6l_Airport,,100,2014-06-16T00:10:25+00:00
4519,LTAO,small_airport,"Malatya Tulga Airport",38.353699,38.253899,3016,AS,Turkey,TR,"Malatya Province",TR-44,44,Malatya,1,LTAO,,,,,,100,2018-04-26T11:31:04+00:00
346115,TR-0092,small_airport,"Kelaynak Aviation Club Airport",36.93968,35.563492,,AS,Turkey,TR,"Adana Province",TR-01,01,,0,,,,,,kelaynak,50,2021-12-17T18:03:35+00:00
4536,LTBM,small_airport,"Isparta Airport",37.78512191772461,30.59001922607422,3250,AS,Turkey,TR,"Isparta Province",TR-32,32,,0,LTBM,,,,,,50,2009-06-27T04:36:49+00:00
44485,TR-0001,small_airport,"Akhisar TSA Airfield",38.97710037231445,27.852500915527344,405,AS,Turkey,TR,"Manisa Province",TR-45,45,Akhisar,0,,,,,,,50,2009-06-27T07:03:53+00:00
44778,TR-0014,small_airport,"Aksaray Airport",38.314704,33.8055,,AS,Turkey,TR,"Aksaray Province",TR-68,68,Aksaray,0,,,,,,,50,2021-03-09T13:30:36+00:00
44779,LTBC,small_airport,"Alaşehir Airport",38.369998931884766,28.557100296020508,,AS,Turkey,TR,"Manisa Province",TR-45,45,Alaşehir,0,LTBC,,,,,,50,2009-08-21T17:09:49+00:00
315916,TR-0041,small_airport,"Fly Pergamon Sport Airfield",39.092842,27.148651,36,AS,Turkey,TR,"İzmir Province",TR-35,35,Bergama,0,,,,http://www.flypergamon.com,,"fly, pergamon, bergama, sport, airfield, microlight, ultralight, gyrocopter",50,2017-01-29T14:47:22+00:00
44782,TR-0018,small_airport,"Bolu Air Base",40.74797058105469,31.650066375732422,,AS,Turkey,TR,"Bolu Province",TR-14,14,Bolu,0,,,,,,,50,2009-08-21T08:56:57+00:00
29743,LTBE,small_airport,"Bursa Airport",40.233299,29.009199,331,AS,Turkey,TR,"Bursa Province",TR-16,16,Bursa,0,LTBE,,,,,BTZ,50,2022-03-29T13:36:50+00:00
29981,LTBW,small_airport,"İstanbul Hezarfen Airfield",41.1036,28.547701,57,EU,Turkey,TR,"İstanbul Province",TR-34,34,Çatalca,0,LTBW,,,http://www.hezarfen.com.tr/,https://en.wikipedia.org/wiki/Istanbul_Hezarfen_Airfield,"Istanbul Hezarfen Havaalanı",50,2022-02-24T10:24:26+00:00
4539,LTBP,small_airport,"Yalova Airport",40.68439865112305,29.375699996948242,6,AS,Turkey,TR,"Yalova Province",TR-77,77,Çiftlikköy,0,LTBP,,,,,,50,2009-06-27T08:55:51+00:00
340312,TR-0078,small_airport,"Dörtyol Airfield",36.8309,36.2172,,AS,Turkey,TR,"Hatay Province",TR-31,31,Dörtyol,0,,,,,,,50,2021-01-27T14:32:55+00:00
29854,LTAX,closed,"Ereğli Erdemir Airport",41.251399993896484,31.41080093383789,10,AS,Turkey,TR,"Zonguldak Province",TR-67,67,Eregli,0,,,,,,"LTAX, LTAX",50,2009-06-26T18:05:40+00:00
4545,LTBV,small_airport,"Bodrum-Imsık Airport",37.140099,27.669701,202,AS,Turkey,TR,"Muğla Province",TR-48,48,Imsık,0,LTBV,BXN,,,https://en.wikipedia.org/wiki/Bodrum-Imsik_Airport,,50,2021-01-27T14:41:59+00:00
44787,TR-0023,small_airport,"Karabiga Airport",40.380798,27.3034,,AS,Turkey,TR,"Çanakkale Province",TR-17,17,Karabiga,0,,,,,,,50,2021-01-27T14:47:41+00:00
44791,TR-0027,small_airport,"Karacabey Hara Airfield",40.15639877319336,28.347900390625,,AS,Turkey,TR,"Bursa Province",TR-16,16,Karacabey,0,,,,,,,50,2009-08-21T17:03:50+00:00
4537,LTBN,small_airport,"Kütahya Airport",39.426700592041016,30.01689910888672,3026,AS,Turkey,TR,"Kütahya Province",TR-43,43,Kütahya,0,LTBN,,,,,,50,2009-06-27T06:40:15+00:00
44780,TR-0016,small_airport,"Balıkesir Manyas Airfield",40.115020751953125,27.938940048217773,,AS,Turkey,TR,"Balıkesir Province",TR-10,10,Manyas,0,,,,,,,50,2009-08-21T08:48:55+00:00
46278,TR-0039,small_airport,"Kayseri Hava İkmal Airfield",38.7029942184,35.504550933800004,3511,AS,Turkey,TR,"Kayseri Province",TR-38,38,Melikgazi,0,,,,,,,50,2010-03-09T07:18:54+00:00
32386,LTAQ,closed,"Samsun Samair Airport",41.278645,36.30518,521,AS,Turkey,TR,"Samsun Province",TR-55,55,Samsun,0,,,,,,"LTAQ, LTAQ",50,2018-05-02T02:09:32+00:00
4563,LTFA,small_airport,"Kaklıç Airport",38.517601,26.9774,13,AS,Turkey,TR,"İzmir Province",TR-35,35,"Tuzçullu Mahallesi",0,LTFA,,,,,,50,2021-01-27T14:44:47+00:00
44493,TR-0005,small_airport,"Tuzla Air Base",40.822643,29.335127,79,AS,Turkey,TR,"İstanbul Province",TR-34,34,"Tuzla, Istanbul",0,,,,,,,50,2021-01-10T01:49:57+00:00
44934,TR-0038,small_airport,"Yüksekova Highway Strip",37.5439478243,44.3380093575,,AS,Turkey,TR,"Hakkâri Province",TR-30,30,Yüksekova,0,,,,,,,50,2009-09-03T03:12:23+00:00
44523,TR-0006,heliport,"Ankara BB Helipad",39.938958,32.838205,,AS,Turkey,TR,"Ankara Province",TR-06,06,,0,,,,,,,0,2022-06-29T14:51:56+00:00
346117,TR-0093,heliport,"Karpuzkaldıran Military Helipad",36.853054,30.796124,,AS,Turkey,TR,"Antalya Province",TR-07,07,,0,,,,,,,0,2022-07-11T06:17:13+00:00
44696,TR-0010,heliport,"Denizli Helipad",37.762107849121094,29.080123901367188,,AS,Turkey,TR,"Denizli Province",TR-20,20,,0,,,,,,,0,2009-08-14T03:07:22+00:00
347110,TR-0096,heliport,"Beşaslan Border Helipad",36.199773,36.468372,,AS,Turkey,TR,"Hatay Province",TR-31,31,,0,,,,,,,0,2021-08-18T05:06:10+00:00
347189,TR-0099,closed,"Border Post Helipad",36.349089,36.598577,,AS,Turkey,TR,"Hatay Province",TR-31,31,,0,,,,,,,0,2021-08-23T04:18:08+00:00
347191,TR-0101,closed,"Borderpost Helipad",36.464096,36.542735,,AS,Turkey,TR,"Hatay Province",TR-31,31,,0,,,,,,,0,2021-08-23T04:33:40+00:00
355914,TR-0214,heliport,"Heliport Rize",41.03832,40.520024,,AS,Turkey,TR,"Rize Province",TR-53,53,,0,,,,,,,0,2022-07-31T14:48:10+00:00
341717,TR-0084,heliport,"15 July Camili Helipad",40.853043,30.319881,,AS,Turkey,TR,"Sakarya Province",TR-54,54,Adapazarı,0,,,,,,,0,2021-03-05T17:01:28+00:00
341719,TR-0086,heliport,"Sakarya Yenikent Provincial Hospital Helipad",40.848736,30.34586,,AS,Turkey,TR,"Sakarya Province",TR-54,54,Adapazarı,0,,,,,,,0,2021-03-05T17:08:52+00:00
341764,TR-0087,heliport,"Kocatepe Heliport",38.789281,30.467759,,AS,Turkey,TR,"Afyonkarahisar Province",TR-03,03,Afyonkarahisar,0,,,,,,,0,2021-03-08T11:19:43+00:00
341765,TR-0088,heliport,"Afyonkarahisar Heliport",38.760204,30.551208,,AS,Turkey,TR,"Afyonkarahisar Province",TR-03,03,Afyonkarahisar,0,,,,,,,0,2021-03-08T11:16:25+00:00
347207,TR-0117,heliport,"Öncüpınar Border Post Helipad",36.643055,37.090787,,AS,Turkey,TR,"Kilis Province",TR-79,79,Akçabağlar,0,,,,,,,0,2021-08-23T06:18:30+00:00
339010,TR-0073,heliport,"Osmaniye Provincial Hospital Helipad",37.051149,36.183218,,AS,Turkey,TR,"Osmaniye Province",TR-80,80,Akyar,0,,,,,,,0,2021-01-27T14:33:26+00:00
349680,TR-0130,heliport,"Ziyaret Garrison Helipad",36.16861,36.360348,,AS,Turkey,TR,"Hatay Province",TR-31,31,Altınözü,0,,,,,,,0,2021-11-12T14:06:10+00:00
349682,TR-0132,heliport,"Kıyıgören Garrison Helipad",36.130135,36.36799,,AS,Turkey,TR,"Hatay Province",TR-31,31,Altınözü,0,,,,,,,0,2021-11-12T14:20:53+00:00
349683,TR-0133,heliport,"Hacıpaşa helipad",36.069306,36.376533,,AS,Turkey,TR,"Hatay Province",TR-31,31,Altınözü,0,,,,,,,0,2021-11-12T14:31:42+00:00
349684,TR-0134,heliport,"Sarıbük Border Post Helipad",35.990792,36.332453,,AS,Turkey,TR,"Hatay Province",TR-31,31,Altınözü,0,,,,,,,0,2021-11-12T14:40:06+00:00
349686,TR-0135,heliport,"Sarıbük Garrison Helipad",36.00592,36.315999,,AS,Turkey,TR,"Hatay Province",TR-31,31,Altınözü,0,,,,,,,0,2021-11-12T14:42:33+00:00
346114,TR-0091,heliport,"NEBİLER UYEM HELIPORT",36.946246,30.599759,863,AS,Turkey,TR,"Antalya Province",TR-07,07,Antalya,0,,,,,,"uyem, orman, helipad, antalya, orman havacılık",0,2022-04-12T03:47:04+00:00
353972,TR-0157,heliport,"Alara Helipad",36.659185,31.665097,75,AS,Turkey,TR,"Antalya Province",TR-07,07,Antalya,0,,,,,,,0,2022-04-11T14:35:45+00:00
353975,TR-0158,heliport,"Düzlerçamı Forestry Heliport",36.98472,30.560253,855,AS,Turkey,TR,"Antalya Province",TR-07,07,Antalya,0,,,,,,,0,2022-04-12T03:43:35+00:00
349738,TR-0139,heliport,"Arslanyazı Garrison Helipad",35.934991,36.178987,,AS,Turkey,TR,"Hatay Province",TR-31,31,Arslanyazı,0,,,,,,,0,2021-11-14T18:33:24+00:00
355213,TR-0168,heliport,"Ataşehir Belediyesi Afet Kriz Merkezi Helikopter Pisti",40.993379,29.116689,88,AS,Turkey,TR,"İstanbul Province",TR-34,34,Ataşehir,0,,,,,,,0,2022-06-27T16:31:19+00:00
347204,TR-0114,heliport,"Aybastı ""Border Eagles"" Border Post Helipad",36.761004,37.000944,,AS,Turkey,TR,"Kilis Province",TR-79,79,Aybastı,0,,,,,,,0,2021-08-23T05:45:47+00:00
349437,TR-0127,heliport,"Medipol Mega University Hospital Heliport",41.05842,28.84335,,EU,Turkey,TR,"İstanbul Province",TR-34,34,"Bağcılar, İstanbul",0,,,,,,,0,2022-02-24T10:30:54+00:00
338979,TR-0045,heliport,"Ataköy Marina Helipad",40.97118,28.8695,,EU,Turkey,TR,"İstanbul Province",TR-34,34,"Bakırköy, Istanbul",0,,,,,,,0,2022-02-24T10:30:29+00:00
338980,TR-0046,heliport,"Acıbadem International Hospital Helipad",40.95844,28.83587,,EU,Turkey,TR,"İstanbul Province",TR-34,34,"Bakırköy, Istanbul",0,,,,,,,0,2022-02-24T10:30:19+00:00
349436,TR-0126,heliport,"Prof. Dr. Murat Dilmener Emergency Hospital Heliport",40.96841,28.80768,98,EU,Turkey,TR,"İstanbul Province",TR-34,34,"Bakırköy, İstanbul",0,,,,,,,0,2022-02-24T10:30:10+00:00
